fullName,organizations,location,status,typeOfDeath,Date,mtpage,type,motiveConfirmed,charges,Year
Adam Juma,Raja FM,South Sudan,Killed,Murder,2015-01-25,https://cpj.org/data/people/adam-juma/,Journalist,Confirmed,,2015
Adam Ward,WDBJ7,USA,Killed,Dangerous Assignment,2015-08-26,https://cpj.org/data/people/adam-ward/,Journalist,Confirmed,,2015
Adeeb al-Janani,Belqees TV,Yemen,Killed,Dangerous Assignment,2020-12-30,https://cpj.org/data/people/adeeb-al-janani/,Journalist,Confirmed,,2020
Adel Naji al-Mansouri,Al-Alam,Iraq,Killed,Murder,2006-07-29,https://cpj.org/data/people/adel-naji-al-mansouri/,Journalist,Confirmed,,2006
Adel Sayegh,Salaheddin TV,Iraq,Killed,Murder,2015-08-01,https://cpj.org/data/people/adel-sayegh/,Journalist,Confirmed,,2015
Adel Zerrouk,Al-Rai,Algeria,Killed,Dangerous Assignment,2001-06-14,https://cpj.org/data/people/adel-zerrouk/,Journalist,Confirmed,,2001
Adel Zorob,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-12-19,https://cpj.org/data/people/adel-zorob/,Journalist,Confirmed,,2023
Adham Hassouna,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-12-01,https://cpj.org/data/people/adham-hassouna/,Journalist,Confirmed,,2023
Adil Bunyatov,Reuters TV and Turan News Agency,Azerbaijan,Killed,Crossfire,1995-03-17,https://cpj.org/data/people/adil-bunyatov/,Journalist,Confirmed,,1995
Adlan Khasanov,Reuters,Russia,Killed,Dangerous Assignment,2004-05-09,https://cpj.org/data/people/adlan-khasanov/,Journalist,Confirmed,,2004
Adnan al-Bayati,TG3,Iraq,Killed,Murder,2005-07-23,https://cpj.org/data/people/adnan-al-bayati/,Journalist,Confirmed,,2005
Adnan al-Safi,Al-Anwar,Iraq,Killed,Murder,2007-07-27,https://cpj.org/data/people/adnan-al-safi/,Journalist,Confirmed,,2007
Adnan Khairallah,Wasan Productions and Al-Arabiya,Iraq,Killed,Murder,2006-02-23,https://cpj.org/data/people/adnan-khairallah/,Journalist,Confirmed,,2006
Adolfo Isuiza Urquia,Radio Tropical,Peru,Killed,Murder,1992-08-23,https://cpj.org/data/people/adolfo-isuiza-urquia/,Journalist,Confirmed,,1992
Adolphe Missamba Ndengi Kavula,Nsemo,Democratic Republic of the Congo,Killed,Murder,1994-11-12,https://cpj.org/data/people/adolphe-missamba-ndengi-kavula/,Journalist,Confirmed,,1994
Adrián Silva Moreno,Freelance,Mexico,Killed,Dangerous Assignment,2012-11-14,https://cpj.org/data/people/adrian-silva-moreno/,Journalist,Confirmed,,2012
Agus Muliawan,Asia Press International,East Timor,Killed,Dangerous Assignment,1999-09-25,https://cpj.org/data/people/agus-muliawan/,Journalist,Confirmed,,1999
Ahmad Hallak,Al-Buraq Media Institution,Syria,Killed,Crossfire,2016-08-02,https://cpj.org/data/people/ahmad-hallak/,Journalist,Confirmed,,2016
