fullName,organizations,location,status,typeOfDeath,Date,mtpage,type,motiveConfirmed,charges,Year
José Armando Rodríguez Carreón,El Diario de Ciudad Juárez,Mexico,Killed,Murder,2008-11-13,https://cpj.org/data/people/jose-armando-rodriguez-carreon/,Journalist,Confirmed,,2008
José Cândido de Amorim Filho,Rádio Alternativa,Brazil,Killed,Murder,2005-07-01,https://cpj.org/data/people/jose-candido-de-amorim-filho/,Journalist,Confirmed,,2005
José Carlos Araújo,Rádio Timbaúba FM,Brazil,Killed,Murder,2004-04-24,https://cpj.org/data/people/jose-carlos-araujo/,Journalist,Confirmed,,2004
José Carlos Mesquita,TV Ouro Verde,Brazil,Killed,Murder,1998-03-10,https://cpj.org/data/people/jose-carlos-mesquita/,Journalist,Confirmed,,1998
José Couso,Telecinco,Iraq,Killed,Crossfire,2003-04-08,https://cpj.org/data/people/jose-couso/,Journalist,Confirmed,,2003
José Duviel Vásquez Arias,La Voz de la Selva,Colombia,Killed,Murder,2001-07-06,https://cpj.org/data/people/jose-duviel-vasquez-arias/,Journalist,Confirmed,,2001
José Emeterio Rivas,Radio Calor Estéreo,Colombia,Killed,Murder,2003-04-06,https://cpj.org/data/people/jose-emeterio-rivas/,Journalist,Confirmed,,2003
José Everardo Aguilar,Radio Súper and Bolívar Estéreo,Colombia,Killed,Murder,2009-04-29,https://cpj.org/data/people/jose-everardo-aguilar/,Journalist,Confirmed,,2009
José Luis Cabezas,Noticias,Argentina,Killed,Murder,1997-01-25,https://cpj.org/data/people/jose-luis-cabezas/,Journalist,Confirmed,,1997
José Luis López de la Calle,El Mundo,Spain,Killed,Murder,2000-05-07,https://cpj.org/data/people/jose-luis-lopez-de-la-calle/,Journalist,Confirmed,,2000
José Luis Ortega Mata,Semanario de Ojinaga,Mexico,Killed,Murder,2001-02-19,https://cpj.org/data/people/jose-luis-ortega-mata/,Journalist,Confirmed,,2001
Jose Manuel,Benguela Province Radio,Angola,Killed,Murder,1993-05-01,https://cpj.org/data/people/jose-manuel/,Journalist,Confirmed,,1993
Jose Maria dos Santos,Radio Morena,Angola,Killed,Murder,1993-05-01,https://cpj.org/data/people/jose-maria-dos-santos/,Journalist,Confirmed,,1993
José Moisés Sánchez Cerezo,La Unión,Mexico,Killed,Murder,2015-01-02,https://cpj.org/data/people/jose-moises-sanchez-cerezo/,Journalist,Confirmed,,2015
José Roberto Ornelas de Lemos,Jornal Hora H,Brazil,Killed,Murder,2013-06-11,https://cpj.org/data/people/jose-roberto-ornelas-de-lemos/,Journalist,Confirmed,,2013
Joselito Agustin,DZJC,Philippines,Killed,Murder,2010-06-15,https://cpj.org/data/people/joselito-agustin/,Journalist,Confirmed,,2010
Joseph Hernández Ochoa,TV Channel 51,Honduras,Killed,Murder,2010-03-01,https://cpj.org/data/people/joseph-hernandez-ochoa/,Journalist,Confirmed,,2010
"Juan ""Jun"" Pala",DXGO Radio,Philippines,Killed,Murder,2003-09-06,https://cpj.org/data/people/juan-jun-pala/,Journalist,Confirmed,,2003
Juan Camilo Restrepo Guerra,Radio Galaxia Estéreo,Colombia,Killed,Murder,2000-10-31,https://cpj.org/data/people/juan-camilo-restrepo-guerra/,Journalist,Confirmed,,2000
Juan Carlos Benavides Arévalo,Manantial Estéreo,Colombia,Killed,Crossfire,2003-08-22,https://cpj.org/data/people/juan-carlos-benavides-arevalo/,Journalist,Confirmed,,2003
Juan Carlos Encinas,Freelancer,Bolivia,Killed,Dangerous Assignment,2001-07-29,https://cpj.org/data/people/juan-carlos-encinas/,Journalist,Confirmed,,2001
Juan Carlos Vásquez,Ultima Hora,Dominican Republic,Killed,Murder,1995-07-02,https://cpj.org/data/people/juan-carlos-vasquez/,Journalist,Confirmed,,1995
Juan Emilio Andújar Matos,Radio Azua and Listín Diario,Dominican Republic,Killed,Murder,2004-09-14,https://cpj.org/data/people/juan-emilio-andujar-matos/,Journalist,Confirmed,,2004
Juan Javier Ortega Reyes,El Comercio,Colombia,Killed,Murder,2018-04-18,https://cpj.org/data/people/juan-javier-ortega-reyes/,Journalist,Confirmed,,2018
Julio Anguita Parrado,El Mundo,Iraq,Killed,Crossfire,2003-04-07,https://cpj.org/data/people/julio-anguita-parrado/,Journalist,Confirmed,,2003
Julio Augusto García Romero,La Bocina and Punto de Vista,Ecuador,Killed,Dangerous Assignment,2005-04-19,https://cpj.org/data/people/julio-augusto-garcia-romero/,Journalist,Confirmed,,2005
Julio César Da Rosa,Radio del Centro,Uruguay,Killed,Murder,2000-02-24,https://cpj.org/data/people/julio-cesar-da-rosa/,Journalist,Confirmed,,2000
Julio Fuentes,El Mundo,Afghanistan,Killed,Murder,2001-11-19,https://cpj.org/data/people/julio-fuentes/,Journalist,Confirmed,,2001
Julio Hernando Palacios Sánchez,Radio Lemas,Colombia,Killed,Murder,2005-01-11,https://cpj.org/data/people/julio-hernando-palacios-sanchez/,Journalist,Confirmed,,2005
Julio Valdivia,El Mundo,Mexico,Killed,Murder,2020-09-09,https://cpj.org/data/people/julio-valdivia/,Journalist,Confirmed,,2020
Jyotirmoy Dey,Midday,India,Killed,Murder,2011-06-11,https://cpj.org/data/people/jyotirmoy-dey/,Journalist,Confirmed,,2011
Kamal Hossain,Ajker Kagoj,Bangladesh,Killed,Murder,2004-08-22,https://cpj.org/data/people/kamal-hossain/,Journalist,Confirmed,,2004
Kamal Manahi Anbar,Freelance,Iraq,Killed,Crossfire,2006-03-26,https://cpj.org/data/people/kamal-manahi-anbar/,Journalist,Confirmed,,2006
Kamel abu al-Walid,Jarabulus Media Office,Syria,Killed,Crossfire,2018-03-19,https://cpj.org/data/people/kamel-abu-al-walid/,Journalist,Confirmed,,2018
Kamran Dawar,"Freelance, Waziristan TV",Pakistan,Killed,Murder,2024-05-21,https://cpj.org/data/people/kamran-dawar/,Journalist,Confirmed,,2024
Karam Hussein,European Pressphoto Agency,Iraq,Killed,Murder,2004-10-14,https://cpj.org/data/people/karam-hussein/,Journalist,Confirmed,,2004
Karam Kabishou,Sama TV,Syria,Killed,Crossfire,2017-12-29,https://cpj.org/data/people/karam-kabishou/,Journalist,Confirmed,,2017
Karen Fischer,Freelance,Afghanistan,Killed,Murder,2006-10-07,https://cpj.org/data/people/karen-fischer/,Journalist,Confirmed,,2006
Karim Fakhrawi,Al-Wasat,Bahrain,Killed,Murder,2011-04-12,https://cpj.org/data/people/karim-fakhrawi/,Journalist,Confirmed,,2011
Karmela Sojanovic,Oslobodjenje,Bosnia,Killed,Murder,1993-01-10,https://cpj.org/data/people/karmela-sojanovic/,Journalist,Confirmed,,1993
Karun Misra,Jansandesh Times,India,Killed,Murder,2016-02-13,https://cpj.org/data/people/karun-misra/,Journalist,Confirmed,,2016
Kaset Puengpak,Thai Rath,Thailand,Killed,Murder,2001-05-02,https://cpj.org/data/people/kaset-puengpak/,Journalist,Confirmed,,2001
Kate Peyton,BBC,Somalia,Killed,Murder,2005-02-09,https://cpj.org/data/people/kate-peyton/,Journalist,Confirmed,,2005
Kaveh Golestan,Freelance,Iraq,Killed,Crossfire,2003-04-02,https://cpj.org/data/people/kaveh-golestan/,Journalist,Confirmed,,2003
Kawa Garmyane,"Rayel, Awene",Iraq,Killed,Murder,2013-12-05,https://cpj.org/data/people/kawa-garmyane/,Journalist,Confirmed,,2013
Kazbek Gekkiyev,VGTRK,Russia,Killed,Murder,2012-12-05,https://cpj.org/data/people/kazbek-gekkiyev/,Journalist,Confirmed,,2012
Kemal Kilic,Ozgur Gundem,Turkey,Killed,Murder,1993-02-25,https://cpj.org/data/people/kemal-kilic/,Journalist,Confirmed,,1993
Ken Oosterbroek,The Star,South Africa,Killed,Crossfire,1994-04-18,https://cpj.org/data/people/ken-oosterbroek/,Journalist,Confirmed,,1994
Kenji Goto,Freelance,Syria,Killed,Murder,2015-01-01,https://cpj.org/data/people/kenji-goto/,Journalist,Confirmed,,2015
Kenji Nagai,APF News,Myanmar,Killed,Murder,2007-09-27,https://cpj.org/data/people/kenji-nagai/,Journalist,Confirmed,,2007
Kerem Lawton,Associated Press Television News,Yugoslavia,Killed,Crossfire,2001-03-29,https://cpj.org/data/people/kerem-lawton/,Journalist,Confirmed,,2001
Khadija Dahmani,Echourouk al-Arabi,Algeria,Killed,Murder,1995-12-05,https://cpj.org/data/people/khadija-dahmani/,Journalist,Confirmed,,1995
Khaled Abdel Thamer,Al-Iraqiya,Iraq,Killed,Dangerous Assignment,2014-03-10,https://cpj.org/data/people/khaled-abdel-thamer/,Journalist,Confirmed,,2014
Khaled al-Attar,Al-Iraqiya,Iraq,Killed,Murder,2005-07-01,https://cpj.org/data/people/khaled-al-attar/,Journalist,Confirmed,,2005
Khaled al-Khateb,RT,Syria,Killed,Crossfire,2017-07-30,https://cpj.org/data/people/khaled-al-khateb/,Journalist,Confirmed,,2017
Khaled al-Washli,Al-Masirah TV,Yemen,Killed,Dangerous Assignment,2015-01-04,https://cpj.org/data/people/khaled-al-washli/,Journalist,Confirmed,,2015
Khaled al-Zintani,Freelance,Libya,Killed,Crossfire,2016-06-24,https://cpj.org/data/people/khaled-al-zintani/,Journalist,Confirmed,,2016
Khaled Eissa,Freelance,Syria,Killed,Murder,2016-06-24,https://cpj.org/data/people/khaled-eissa/,Journalist,Confirmed,,2016
Khaled Fayyad Obaid al-Hamdani,Nahrain,Iraq,Killed,Crossfire,2007-04-12,https://cpj.org/data/people/khaled-fayyad-obaid-al-hamdani/,Journalist,Confirmed,,2007
Khaled Mahmoud al-Falahi,Wasan Productions and Al-Arabiya,Iraq,Killed,Murder,2006-02-23,https://cpj.org/data/people/khaled-mahmoud-al-falahi/,Journalist,Confirmed,,2006
Khaled Reyadh Hamad,Continue Production Films,Israel and the Occupied Palestinian Territory,Killed,Crossfire,2014-07-20,https://cpj.org/data/people/khaled-reyadh-hamad/,Journalist,Confirmed,,2014
Khalid Ali Hamada,Al-Ahad TV,Iraq,Killed,Crossfire,2014-06-15,https://cpj.org/data/people/khalid-ali-hamada/,Journalist,Confirmed,,2014
Khalid W. Hassan,The New York Times,Iraq,Killed,Murder,2007-07-13,https://cpj.org/data/people/khalid-w-hassan/,Journalist,Confirmed,,2007
Khalil Abu Aathra,Al-Aqsa TV,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-19,https://cpj.org/data/people/khalil-abu-aathra/,Journalist,Confirmed,,2023
Khalil Jibran,Khyber News,Pakistan,Killed,Murder,2024-06-18,https://cpj.org/data/people/khalil-jibran/,Journalist,Confirmed,,2024
Khamail Khalaf,Radio Free Iraq,Iraq,Killed,Murder,2007-04-05,https://cpj.org/data/people/khamail-khalaf/,Journalist,Confirmed,,2007
Khem Sambo,Moneaseka Khmer,Cambodia,Killed,Murder,2008-07-11,https://cpj.org/data/people/khem-sambo/,Journalist,Confirmed,,2008
Khushvaht Muborakshoev,Tajikistan State Television,Tajikistan,Killed,Murder,1992-12-01,https://cpj.org/data/people/khushvaht-muborakshoev/,Journalist,Confirmed,,1992
Khushvakht Haydarsho,Jumhuriyat,Tajikistan,Killed,Murder,1994-05-18,https://cpj.org/data/people/khushvakht-haydarsho/,Journalist,Confirmed,,1994
Kim Wall,Freelance,Denmark,Killed,Dangerous Assignment,2017-08-10,https://cpj.org/data/people/kim-wall/,Journalist,Confirmed,,2017
Kirill Radchenko,The Investigations Management Centre (TsUR),Central African Republic,Killed,Murder,2018-07-30,https://cpj.org/data/people/kirill-radchenko/,Journalist,Confirmed,,2018
Kjasif Smajlovic,Oslobodjenje,Bosnia,Killed,Murder,1992-04-09,https://cpj.org/data/people/kjasif-smajlovic/,Journalist,Confirmed,,1992
Klein Cantoneros,DXAA-FM,Philippines,Killed,Murder,2005-05-04,https://cpj.org/data/people/klein-cantoneros/,Journalist,Confirmed,,2005
Kolawole Omoniyi,Freelance,Nigeria,Killed,Dangerous Assignment,2024-10-08,https://cpj.org/data/people/kolawole-omoniyi/,Journalist,Confirmed,,2024
Kotaro Ogawa,Freelance,Iraq,Killed,Crossfire,2004-05-27,https://cpj.org/data/people/kotaro-ogawa/,Journalist,Confirmed,,2004
Kruno Marinovic,Croatian State Radio,Bosnia,Killed,Murder,1992-04-14,https://cpj.org/data/people/kruno-marinovic/,Journalist,Confirmed,,1992
Kurt Schork,Reuters,Sierra Leone,Killed,Crossfire,2000-05-24,https://cpj.org/data/people/kurt-schork/,Journalist,Confirmed,,2000
Kutlu Adali,Yeni Düzen,Cyprus,Killed,Murder,1996-07-06,https://cpj.org/data/people/kutlu-adali/,Journalist,Confirmed,,1996
Lahcene Bensaadallah,El-Irshad,Algeria,Killed,Murder,1994-10-12,https://cpj.org/data/people/lahcene-bensaadallah/,Journalist,Confirmed,,1994
Laith al-Dulaimi,Al-Nahrain,Iraq,Killed,Murder,2006-05-08,https://cpj.org/data/people/laith-al-dulaimi/,Journalist,Confirmed,,2006
Lanka Jayasundara,Wijeya Publications,Sri Lanka,Killed,Dangerous Assignment,2004-12-11,https://cpj.org/data/people/lanka-jayasundara/,Journalist,Confirmed,,2004
Larisa Yudina,Sovietskaya Kalmykia Segodnya,Russia,Killed,Murder,1998-06-08,https://cpj.org/data/people/larisa-yudina/,Journalist,Confirmed,,1998
Larry Que,Catanduanes News Now,Philippines,Killed,Murder,2016-12-20,https://cpj.org/data/people/larry-que/,Journalist,Confirmed,,2016
Lasantha Wickrematunge,The Sunday Leader,Sri Lanka,Killed,Murder,2009-01-08,https://cpj.org/data/people/lasantha-wickrematunge/,Journalist,Confirmed,,2009
Lawrence Fahmy al-Naimi,Shaam News Network,Syria,Killed,Crossfire,2012-05-27,https://cpj.org/data/people/lawrence-fahmy-al-naimi/,Journalist,Confirmed,,2012
Layal Najib,Freelance,Lebanon,Killed,Crossfire,2006-07-23,https://cpj.org/data/people/layal-najib/,Journalist,Confirmed,,2006
Lea Dalmacio,Socsargen News,Philippines,Killed,Murder,2009-11-23,https://cpj.org/data/people/lea-dalmacio/,Journalist,Confirmed,,2009
Leiron Kogoya,Papua Pos Nabire and Pasifik Pos Dail,Indonesia,Killed,Dangerous Assignment,2012-04-08,https://cpj.org/data/people/leiron-kogoya/,Journalist,Confirmed,,2012
Leobardo Vázquez Atzin,Enlace Informativo Regional,Mexico,Killed,Murder,2018-03-21,https://cpj.org/data/people/leobardo-vazquez-atzin/,Journalist,Confirmed,,2018
Leonardo Gabriel Hernández,Valle TV,Honduras,Killed,Murder,2019-03-17,https://cpj.org/data/people/leonardo-gabriel-hernandez/,Journalist,Confirmed,,2019
Leslie Ann Pamela Montenegro del Real,El Sillón,Mexico,Killed,Murder,2018-02-05,https://cpj.org/data/people/leslie-ann-pamela-montenegro-del-real/,Journalist,Confirmed,,2018
Leyla Yildizhan (Deniz Firat),Firat News Agency,Iraq,Killed,Crossfire,2014-08-08,https://cpj.org/data/people/leyla-yildizhan-deniz-firat/,Journalist,Confirmed,,2014
Liban Abdullahi Farah,Kalsan TV,Somalia,Killed,Murder,2013-07-07,https://cpj.org/data/people/liban-abdullahi-farah/,Journalist,Confirmed,,2013
Liban Ali Nur,Somali National TV,Somalia,Killed,Murder,2012-09-20,https://cpj.org/data/people/liban-ali-nur/,Journalist,Confirmed,,2012
Lindo Lupogan,Mindanao Daily Gazette,Philippines,Killed,Murder,2009-11-23,https://cpj.org/data/people/lindo-lupogan/,Journalist,Confirmed,,2009
Lissy Schmidt,"Agence France-Presse, Frankfurter Rundschau, Der Tagesspiegel",Iraq,Killed,Murder,1994-04-03,https://cpj.org/data/people/lissy-schmidt/,Journalist,Confirmed,,1994
Loay al-Nimir,Freelance,Syria,Killed,Crossfire,2013-01-31,https://cpj.org/data/people/loay-al-nimir/,Journalist,Confirmed,,2013
Lokman Slim,Freelance,Lebanon,Killed,Murder,2021-02-03,https://cpj.org/data/people/lokman-slim/,Journalist,Confirmed,,2021
Louay Sadiq Meshaal,Al-Nujaba TV,Iraq,Killed,Crossfire,2017-10-01,https://cpj.org/data/people/louay-sadiq-meshaal/,Journalist,Confirmed,,2017
Lourenço Veras,Porã News,Paraguay,Killed,Murder,2020-02-12,https://cpj.org/data/people/lourenco-veras/,Journalist,Confirmed,,2020
Lucas Mebrouk Dolega,European Pressphoto Agency,Tunisia,Killed,Dangerous Assignment,2011-01-17,https://cpj.org/data/people/lucas-mebrouk-dolega/,Journalist,Confirmed,,2011
Luciano Leitão Pedrosa,TV Vitória and Radio Metropolitana FM,Brazil,Killed,Murder,2011-04-09,https://cpj.org/data/people/luciano-leitao-pedrosa/,Journalist,Confirmed,,2011
Luis Alonzo Almendares,Freelance,Honduras,Killed,Murder,2020-09-27,https://cpj.org/data/people/luis-alonzo-almendares/,Journalist,Confirmed,,2020
Luis Antonio Peralta Cuéllar,Linda Stereo,Colombia,Killed,Murder,2015-02-14,https://cpj.org/data/people/luis-antonio-peralta-cuellar/,Journalist,Confirmed,,2015
Luis Carlos Santiago,El Diario,Mexico,Killed,Murder,2010-09-16,https://cpj.org/data/people/luis-carlos-santiago/,Journalist,Confirmed,,2010
Luis Eduardo Alfonso Parada,Radio Meridiano-70,Colombia,Killed,Murder,2003-03-18,https://cpj.org/data/people/luis-eduardo-alfonso-parada/,Journalist,Confirmed,,2003
Luis Emanuel Ruiz Carrillo,La Prensa,Mexico,Killed,Murder,2011-03-25,https://cpj.org/data/people/luis-emanuel-ruiz-carrillo/,Journalist,Confirmed,,2011
Luís Gustavo da Silva,Freelance,Brazil,Killed,Murder,2017-06-14,https://cpj.org/data/people/luis-gustavo-da-silva/,Journalist,Confirmed,,2017
Luis Mario García Rodríguez,La Tarde,Mexico,Killed,Murder,1998-02-12,https://cpj.org/data/people/luis-mario-garcia-rodriguez/,Journalist,Confirmed,,1998
Luiz Antônio da Costa,Época,Brazil,Killed,Murder,2003-07-23,https://cpj.org/data/people/luiz-antonio-da-costa/,Journalist,Confirmed,,2003
Luiz Carlos Barbon Filho,"Jornal do Porto, JC Regional, and Rádio Porto FM",Brazil,Killed,Murder,2007-05-05,https://cpj.org/data/people/luiz-carlos-barbon-filho/,Journalist,Confirmed,,2007
Łukasz Masiak,Nasza Mława,Poland,Killed,Murder,2015-06-14,https://cpj.org/data/people/lukasz-masiak/,Journalist,Confirmed,,2015
Luke Somers,Freelance,Yemen,Killed,Murder,2014-12-06,https://cpj.org/data/people/luke-somers/,Journalist,Confirmed,,2014
Luma al-Karkhi,Al-Dustour,Iraq,Killed,Murder,2006-11-15,https://cpj.org/data/people/luma-al-karkhi/,Journalist,Confirmed,,2006
Lyra McKee,Freelance,UK,Killed,Dangerous Assignment,2019-04-18,https://cpj.org/data/people/lyra-mckee/,Journalist,Confirmed,,2019
M. L. Manchanda,All India Radio,India,Killed,Murder,1992-05-27,https://cpj.org/data/people/m-l-manchanda/,Journalist,Confirmed,,1992
Mabay Kamara,Freelancer,Sierra Leone,Killed,Murder,1999-01-09,https://cpj.org/data/people/mabay-kamara/,Journalist,Confirmed,,1999
Madjid Yacef,L'Hebdo Libéré,Algeria,Killed,Murder,1994-03-20,https://cpj.org/data/people/madjid-yacef/,Journalist,Confirmed,,1994
Mafaldo Bezerra Goes,FM Rio Jaguaribe,Brazil,Killed,Murder,2013-02-22,https://cpj.org/data/people/mafaldo-bezerra-goes/,Journalist,Confirmed,,2013
Magdy Abdel Rahman,Sudan TV,Sudan,Killed,Crossfire / Combat Related,2025-03-21,https://cpj.org/data/people/magdy-abdel-rahman/,Journalist,Confirmed,,2025
Magomed Yevloyev,Ingushetiya,Russia,Killed,Murder,2008-08-31,https://cpj.org/data/people/magomed-yevloyev/,Journalist,Confirmed,,2008
Magomedzagid Varisov,Novoye Delo,Russia,Killed,Murder,2005-06-28,https://cpj.org/data/people/magomedzagid-varisov/,Journalist,Confirmed,,2005
Maha Ibrahim,Baghdad TV,Iraq,Killed,Crossfire,2005-06-25,https://cpj.org/data/people/maha-ibrahim/,Journalist,Confirmed,,2005
Mahad Ahmed Elmi,Capital Voice,Somalia,Killed,Murder,2007-08-11,https://cpj.org/data/people/mahad-ahmed-elmi/,Journalist,Confirmed,,2007
Mahad Ali Mohamed,Codka Mudug Radio,Somalia,Killed,Crossfire,2016-11-06,https://cpj.org/data/people/mahad-ali-mohamed/,Journalist,Confirmed,,2016
Mahad Salad Adan,Shabelle Media Network,Somalia,Killed,Murder,2012-04-05,https://cpj.org/data/people/mahad-salad-adan/,Journalist,Confirmed,,2012
Maharram Durrani,"Radio Azadi,Radio Free Europe/Radio Liberty",Afghanistan,Killed,Murder,2018-04-30,https://cpj.org/data/people/maharram-durrani/,Journalist,Confirmed,,2018
Maharram Ibrahimov,AzerTag,Azerbaijan,Killed,Crossfire,2021-06-04,https://cpj.org/data/people/maharram-ibrahimov/,Journalist,Confirmed,,2021
Maheshwar Pahari,Rastriya Swabhiman,Nepal,Killed,Dangerous Assignment,2005-10-04,https://cpj.org/data/people/maheshwar-pahari/,Journalist,Confirmed,,2005
Mahmoud al-Harbi al-Kafri,Daraa 24,Syria,Killed,Murder,2023-11-10,https://cpj.org/data/people/mahmoud-al-harbi-al-kafri/,Journalist,Confirmed,,2023
Mahmoud al-Kumi,Al-Aqsa,Israel and the Occupied Palestinian Territory,Killed,Crossfire,2012-11-20,https://cpj.org/data/people/mahmoud-al-kumi/,Journalist,Confirmed,,2012
Mahmoud Hamid Abbas,Zweites Deutsches Fernsehen,Iraq,Killed,Crossfire,2004-08-15,https://cpj.org/data/people/mahmoud-hamid-abbas/,Journalist,Confirmed,,2004
Mahmoud Islim Al-Basos,Freelance,Israel and the Occupied Palestinian Territory,Killed,Murder,2025-03-15,https://cpj.org/data/people/mahmoud-islim-al-basos/,Journalist,Confirmed,,2025
Mahmoud Juhjouh,Palestine Post,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-05-16,https://cpj.org/data/people/mahmoud-juhjouh/,Journalist,Confirmed,,2024
Mahmoud Natouf,"Sana al-Thawra, Moadamyat Al-Sham Media Center",Syria,Killed,Crossfire,2013-03-14,https://cpj.org/data/people/mahmoud-natouf/,Journalist,Confirmed,,2013
Mahmoud Saremi,Iranian News Agency (IRNA),Afghanistan,Killed,Murder,1998-08-08,https://cpj.org/data/people/mahmoud-saremi/,Journalist,Confirmed,,1998
Mahmoud Za'al,Baghdad TV,Iraq,Killed,Crossfire,2006-01-25,https://cpj.org/data/people/mahmoud-zaal/,Journalist,Confirmed,,2006
Mahran al-Deeri,Al-Jazeera,Syria,Killed,Crossfire,2014-12-10,https://cpj.org/data/people/mahran-al-deeri/,Journalist,Confirmed,,2014
Maisara Ahmed Salah,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-11-30,https://cpj.org/data/people/maisara-ahmed-salah/,Journalist,Confirmed,,2024
Majd Fadl Arandas,Al-Jamaheer,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-11-01,https://cpj.org/data/people/majd-fadl-arandas/,Journalist,Confirmed,,2023
Majeed Mohammed,Kirkuk al-Yawm and Hawal,Iraq,Killed,Murder,2007-07-16,https://cpj.org/data/people/majeed-mohammed/,Journalist,Confirmed,,2007
Majid Dirani,Freelance,Syria,Killed,Crossfire,2016-02-19,https://cpj.org/data/people/majid-dirani/,Journalist,Confirmed,,2016
Maks Levin,LB.ua,Ukraine,Killed,Crossfire,2022-03-13,https://cpj.org/data/people/maks-levin/,Journalist,Confirmed,,2022
Maksim Maksimov,Gorod,Russia,Killed,Murder,2006-06-29,https://cpj.org/data/people/maksim-maksimov/,Journalist,Confirmed,,2006
Malalai Maiwand,Enikass Radio and TV,Afghanistan,Killed,Murder,2020-12-10,https://cpj.org/data/people/malalai-maiwand/,Journalist,Confirmed,,2020
Malik Arif,Samaa TV,Pakistan,Killed,Crossfire,2010-04-16,https://cpj.org/data/people/malik-arif/,Journalist,Confirmed,,2010
Malika Sabour,Echourouk al-Arabi,Algeria,Killed,Murder,1995-05-21,https://cpj.org/data/people/malika-sabour/,Journalist,Confirmed,,1995
Mamdouh Qanita,Al-Aqsa TV,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-11-30,https://cpj.org/data/people/mamdouh-qanita/,Journalist,Confirmed,,2024
Manik Saha,New Age,Bangladesh,Killed,Murder,2004-01-15,https://cpj.org/data/people/manik-saha/,Journalist,Confirmed,,2004
Manish Kumar Singh,Sudarshan TV,India,Killed,Murder,2021-08-08,https://cpj.org/data/people/manish-kumar-singh/,Journalist,Confirmed,,2021
Manoel Leal de Oliveira,A Regiao,Brazil,Killed,Murder,1998-01-14,https://cpj.org/data/people/manoel-leal-de-oliveira/,Journalist,Confirmed,,1998
Mantas Kvedaravičius,Freelance,Ukraine,Killed,Crossfire,2022-04-02,https://cpj.org/data/people/mantas-kvedaravicius/,Journalist,Confirmed,,2022
Manuel de Dios Unanue,El Diario/La Prensa,USA,Killed,Murder,1992-03-11,https://cpj.org/data/people/manuel-de-dios-unanue/,Journalist,Confirmed,,1992
Manuel Martínez Espinoza,Radio Super,Colombia,Killed,Murder,1993-09-28,https://cpj.org/data/people/manuel-martinez-espinoza/,Journalist,Confirmed,,1993
Marc Brunereau,Freelance,Afghanistan,Killed,Crossfire,2001-09-05,https://cpj.org/data/people/marc-brunereau/,Journalist,Confirmed,,2001
Marcellin Kayiranga,Kanguka,Rwanda,Killed,Murder,1994-04-22,https://cpj.org/data/people/marcellin-kayiranga/,Journalist,Confirmed,,1994
Marcello Palmisano,RAI,Somalia,Killed,Murder,1995-02-09,https://cpj.org/data/people/marcello-palmisano/,Journalist,Confirmed,,1995
Marckendy Natoux,Freelance,Haiti,Killed,Murder,2024-12-24,https://cpj.org/data/people/marckendy-natoux/,Journalist,Confirmed,,2024
Marco Luchetta,RAI-TV,Bosnia,Killed,Crossfire,1994-01-28,https://cpj.org/data/people/marco-luchetta/,Journalist,Confirmed,,1994
Marcos Borges Ribeiro,Independente,Brazil,Killed,Murder,1995-05-01,https://cpj.org/data/people/marcos-borges-ribeiro/,Journalist,Confirmed,,1995
Marcos de Barros Leopoldo Guerra,Ubatuba Cobra,Brazil,Killed,Murder,2014-12-23,https://cpj.org/data/people/marcos-de-barros-leopoldo-guerra/,Journalist,Confirmed,,2014
Marcos Efraín Montalvo,Freelance,Colombia,Killed,Murder,2021-09-19,https://cpj.org/data/people/marcos-efrain-montalvo/,Journalist,Confirmed,,2021
Marcos Hernández Bautista,"Noticias, Voz e Imagen de Oaxaca",Mexico,Killed,Murder,2018-09-21,https://cpj.org/data/people/marcos-hernandez-bautista/,Journalist,Confirmed,,2018
María Carlin Fernández,Peruvian Radio and Television Network,Peru,Killed,Murder,1993-12-10,https://cpj.org/data/people/maria-carlin-fernandez/,Journalist,Confirmed,,1993
María Efigenia Vásquez Astudillo,Renacer Kokonuko,Colombia,Killed,Dangerous Assignment,2017-10-08,https://cpj.org/data/people/maria-efigenia-vasquez-astudillo/,Journalist,Confirmed,,2017
Maria Elena Ferral Hernández,"El Diario de Xalapa,El Quinto Poder",Mexico,Killed,Murder,2020-03-30,https://cpj.org/data/people/maria-elena-ferral-hernandez/,Journalist,Confirmed,,2020
Maria Elizabeth Macías Castro,Freelance,Mexico,Killed,Murder,2011-09-24,https://cpj.org/data/people/maria-elizabeth-macias-castro/,Journalist,Confirmed,,2011
Maria Grazia Cutuli,Corriere della Serra,Afghanistan,Killed,Murder,2001-11-19,https://cpj.org/data/people/maria-grazia-cutuli/,Journalist,Confirmed,,2001
María José Bravo,La Prensa,Nicaragua,Killed,Murder,2004-11-09,https://cpj.org/data/people/maria-jose-bravo/,Journalist,Confirmed,,2004
María Veronica Tessari,Colombian Media,Venezuela,Killed,Dangerous Assignment,1993-01-15,https://cpj.org/data/people/maria-veronica-tessari/,Journalist,Confirmed,,1993
Maricel Vigo,DXND,Philippines,Killed,Murder,2006-06-19,https://cpj.org/data/people/maricel-vigo/,Journalist,Confirmed,,2006
