fullName,organizations,location,status,typeOfDeath,Date,mtpage,type,motiveConfirmed,charges,Year,Month
Mahmoud Islim Al-Basos,Freelance,Israel and the Occupied Palestinian Territory,Killed,Murder,2025-03-15,https://cpj.org/data/people/mahmoud-islim-al-basos/,Journalist,Confirmed,,2025,March
Mahmoud Juhjouh,Palestine Post,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-05-16,https://cpj.org/data/people/mahmoud-juhjouh/,Journalist,Confirmed,,2024,May
Maisara Ahmed Salah,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-11-30,https://cpj.org/data/people/maisara-ahmed-salah/,Journalist,Confirmed,,2024,November
Majd Fadl Arandas,Al-Jamaheer,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-11-01,https://cpj.org/data/people/majd-fadl-arandas/,Journalist,Confirmed,,2023,November
Mamdouh Qanita,Al-Aqsa TV,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-11-30,https://cpj.org/data/people/mamdouh-qanita/,Journalist,Confirmed,,2024,November
Marwan Al Sawaf,Alef Multimedia,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-12-01,https://cpj.org/data/people/marwan-al-sawaf/,Journalist,Confirmed,,2023,December
Mohamad Al-Bayyari,Al-Aqsa TV,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-11-02,https://cpj.org/data/people/mohamad-al-bayyari/,Journalist,Confirmed,,2023,November
Mohamad Al-Iff,Al-Rai,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-12-24,https://cpj.org/data/people/mohamad-al-iff/,Journalist,Confirmed,,2023,December
Mohamed Abu Halima,An-Najah National University Radio,Israel and the Occupied Palestinian Territory,Killed,Crossfire,2004-03-22,https://cpj.org/data/people/mohamed-abu-halima/,Journalist,Confirmed,,2004,March
Mohamed Abu Hassira,WAFA,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-11-07,https://cpj.org/data/people/mohamed-abu-hassira/,Journalist,Confirmed,,2023,November
Mohamed El Sayed Abu Skheil,Al-Quds Radio,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-03-18,https://cpj.org/data/people/mohamed-el-sayed-abu-skheil/,Journalist,Confirmed,,2024,March
Mohamed El-Reefi,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-03-15,https://cpj.org/data/people/mohamed-el-reefi/,Journalist,Confirmed,,2024,March
Mohamed Jamal Sobhi Al-Thalathini,Al-Quds Al-Youm,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-01-11,https://cpj.org/data/people/mohamed-jamal-sobhi-al-thalathini/,Journalist,Confirmed,,2024,January
Mohamed Manhal Abu Armana,Palestine Now,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-07-13,https://cpj.org/data/people/mohamed-manhal-abu-armana/,Journalist,Confirmed,,2024,July
Mohamed Meshmesh,Al-Aqsa Voice Radio,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-07-15,https://cpj.org/data/people/mohamed-meshmesh/,Journalist,Confirmed,,2024,July
Mohamed Mouin Ayyash,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-11-23,https://cpj.org/data/people/mohamed-mouin-ayyash/,Journalist,Confirmed,,2023,November
Mohamed Nabil Al-Zaq,Al Quds,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-11-22,https://cpj.org/data/people/mohamed-nabil-al-zaq/,Journalist,Confirmed,,2023,November
Mohamed Naser Abu Huwaidi,Al-Istiklal,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-12-23,https://cpj.org/data/people/mohamed-naser-abu-huwaidi/,Journalist,Confirmed,,2023,December
Mohamed Yaghi,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-02-23,https://cpj.org/data/people/mohamed-yaghi/,Journalist,Confirmed,,2024,February
